Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2024-06-19 07:22:16,false,"Manor Cycling","30.96","1,295","01:46:50","145","170","17.4","35.8","1,791","1,827","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:03:14.9","7","86.0","01:46:07","01:57:11","359","675"
Cycling,2024-06-14 07:16:11,false,"Manor Cycling","40.46","1,315","02:45:40","121","172","14.7","36.0","2,365","2,552","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:02:02.4","9","95.0","02:44:15","03:18:57","370","629"
Cycling,2024-06-08 07:21:54,false,"Manor Cycling","40.23","1,273","03:02:51","115","164","13.2","36.7","2,592","2,520","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:01:13.5","9","95.0","03:00:35","03:48:13","436","734"
Cycling,2024-05-30 07:27:17,false,"Manor Cycling","31.05","1,367","01:51:59","148","175","16.6","34.6","1,844","1,952","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:04:13.3","7","89.6","01:51:25","02:00:54","340","614"
Cycling,2024-05-15 07:37:37,false,"Manor Cycling","31.08","1,218","01:52:33","140","166","16.6","34.4","1,877","2,028","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","73.4","No","00:04:20.3","7","87.8","01:52:03","02:02:41","294","628"
Cycling,2024-04-03 11:53:18,false,"Manor Cycling","31.36","1,279","01:58:03","142","168","15.9","33.4","1,673","1,617","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:04:25.8","7","89.6","01:56:56","02:18:36","423","757"
Cycling,2024-02-27 09:48:57,false,"Manor Cycling","31.02","1,399","01:52:47","151","177","16.5","36.8","2,087","2,051","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","73.4","No","00:04:15.4","7","84.2","01:51:54","02:08:18","319","688"
Cycling,2024-02-09 08:16:38,false,"Austin Cycling","21.45","995","01:16:59","158","180","16.7","30.5","1,171","1,329","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","69.8","No","00:05:37.8","5","78.8","01:16:21","01:24:06","400","619"
Cycling,2024-02-01 11:41:52,false,"Manor Cycling","31.13","1,458","01:54:56","155","187","16.3","36.0","1,342","1,430","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:05:00.4","7","86.0","01:54:24","02:06:57","354","636"
Cycling,2024-01-30 15:08:00,false,"Manor Cycling","31.21","1,361","02:00:11","151","179","15.6","33.2","1,512","1,457","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:05:35.5","7","87.8","01:59:26","02:07:41","453","718"
Cycling,2023-12-12 13:53:05,false,"Manor Cycling","10.34","444","00:37:12","143","179","16.7","30.2","387","387","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:01:04.2","3","82.4","00:37:02","00:37:53","509","570"
