Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2021-06-14 09:43:50,false,"Austin Cycling","12.90","664","00:48:23","157","175","16.0","30.5","843","755","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","86.0","No","00:12:09","3","95.0","00:48:06","00:51:09","706","831"
Cycling,2021-06-06 12:38:21,false,"Austin Cycling","12.92","575","00:46:37","146","172","16.6","29.0","614","597","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:10:07","3","93.2","00:46:26","00:48:37","675","837"
Cycling,2021-06-02 18:36:28,false,"Austin Cycling","10.27","467","00:36:36","148","174","16.8","28.8","528","492","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","84.2","No","00:01:17.1","3","87.8","00:36:30","00:36:36","747","860"
Cycling,2021-05-12 15:28:49,false,"Austin Cycling","4.95","198","00:20:26","128","170","14.5","31.4","230","213","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:20:26","1","82.4","00:20:18","00:26:11","717","826"
Cycling,2021-04-12 12:22:35,false,"Austin Cycling","22.85","1,068","01:28:52","153","176","15.4","32.5","1,529","1,565","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:13:07","5","95.0","01:27:55","01:44:29","749","1,218"
Cycling,2021-04-06 11:57:06,false,"Las Cruces Cycling","11.62","479","00:43:22","138","171","16.1","33.5","715","719","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:06:41.8","3","87.8","00:43:05","00:43:52","4,169","4,392"
Cycling,2021-04-05 08:44:06,false,"Las Cruces Cycling","23.19","1,020","01:22:41","149","186","16.8","30.7","1,309","1,280","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","73.4","No","00:10:20","5","84.2","01:21:44","02:19:16","3,927","4,319"
Cycling,2021-03-08 14:54:38,false,"Austin Cycling","20.39","626","01:16:22","126","158","16.0","29.7","919","928","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","71.6","No","00:01:43.0","5","84.2","01:15:24","01:24:12","646","880"
Cycling,2021-03-02 16:09:04,false,"Austin Cycling","12.10","484","00:42:05","139","168","17.2","30.1","577","571","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","69.8","No","00:07:34.8","3","78.8","00:41:58","00:42:36","712","835"
Cycling,2021-03-01 14:16:34,false,"Austin Cycling","29.13","1,094","01:55:52","136","171","15.1","28.2","1,407","1,427","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","62.6","No","00:16:09","6","80.6","01:55:15","02:05:13","433","866"
